date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:36	44842/44842	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Mar%202025%2020:21:40%20GMT	https://mohitkumar.dev/	C:/My%20Web%20Sites/harsh/mohitkumar.dev/index.html	(from )
05:53:36	3096/3096	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Mar%202025%2001:28:06%20GMT	https://mohitkumar.dev/robots.txt		(from )
05:53:37	6469/6469	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Mar%202025%2000:23:42%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css	(from https://mohitkumar.dev/)
05:53:38	284880/284880	---M--	200	added ('OK')	image/webp	etag:%221b4d9b0a297d09e4c214a1c0ca3031c1%22	https://mohitkumar.dev/Images/HeavenlyBodies/Planets.webp	C:/My%20Web%20Sites/harsh/mohitkumar.dev/Images/HeavenlyBodies/Planets.webp	(from https://mohitkumar.dev/)
05:53:39	185822/185822	---M--	200	added ('OK')	image/webp	etag:%22c9ce1bef620833bfc0142fbae87a53b2%22	https://mohitkumar.dev/Images/Cinephiled/Cinephiled_Banner.webp	C:/My%20Web%20Sites/harsh/mohitkumar.dev/Images/Cinephiled/Cinephiled_Banner.webp	(from https://mohitkumar.dev/)
05:53:39	210264/210264	---M--	200	added ('OK')	image/webp	etag:%22892d4cbfcd47fdf1974008d154ddd2e7%22	https://mohitkumar.dev/Images/BMW/BMW_Banner.webp	C:/My%20Web%20Sites/harsh/mohitkumar.dev/Images/BMW/BMW_Banner.webp	(from https://mohitkumar.dev/)
05:53:39	7470/7470	---M--	200	added ('OK')	image/png	etag:%226c1f7b11e50cab0d2a2f9c12c2355c8c%22	https://mohitkumar.dev/apple-touch-icon.png	C:/My%20Web%20Sites/harsh/mohitkumar.dev/apple-touch-icon.png	(from https://mohitkumar.dev/)
05:53:39	931/931	---M--	200	added ('OK')	image/png	etag:%22d305bcecf0e3657bf22ee5477615ee68%22	https://mohitkumar.dev/favicon-32x32.png	C:/My%20Web%20Sites/harsh/mohitkumar.dev/favicon-32x32.png	(from https://mohitkumar.dev/)
05:53:39	458/458	---M--	200	added ('OK')	image/png	etag:%221ab10cff633c287122325cc9650c1e0a%22	https://mohitkumar.dev/favicon-16x16.png	C:/My%20Web%20Sites/harsh/mohitkumar.dev/favicon-16x16.png	(from https://mohitkumar.dev/)
05:53:39	263/263	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://mohitkumar.dev/site.webmanifest	C:/My%20Web%20Sites/harsh/mohitkumar.dev/site.webmanifest	(from https://mohitkumar.dev/)
05:53:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Mar%202025%2000:23:46%20GMT	https://imgur.com/ASyHQJA.jpg	C:/My%20Web%20Sites/harsh/imgur.com/ASyHQJA.8.delayed	(from https://mohitkumar.dev/)
05:53:40	0/-1	---M--	302	error ('')			https://imgur.com/ASyHQJA.jpg	C:/My%20Web%20Sites/harsh/imgur.com/ASyHQJA.9.delayed	(from https://mohitkumar.dev/)
05:53:41	91460/91460	---M-Z	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://mohitkumar.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://mohitkumar.dev/)
05:53:41	1648/1648	---M-Z	200	added ('OK')	application/javascript	etag:W/%229a95c05ee87479b21a0c63ad5311090a%22	https://mohitkumar.dev/_next/static/chunks/webpack-14a891bf35ecde1d.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/webpack-14a891bf35ecde1d.js	(from https://mohitkumar.dev/)
05:53:41	129979/129979	---M-Z	200	added ('OK')	application/javascript	etag:W/%22623da2092ab9e81400d81fad9017f0ba%22	https://mohitkumar.dev/_next/static/chunks/framework-5f4595e5518b5600.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/framework-5f4595e5518b5600.js	(from https://mohitkumar.dev/)
05:53:41	121375/121375	---M-Z	200	added ('OK')	application/javascript	etag:W/%221de0053ea92331805d1c647eda84ce26%22	https://mohitkumar.dev/_next/static/chunks/main-6d0768e624ec846b.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/main-6d0768e624ec846b.js	(from https://mohitkumar.dev/)
05:53:42	299503/299503	---M-Z	200	added ('OK')	application/javascript	etag:W/%2284d5e4a70a2aafbd973050e80e866863%22	https://mohitkumar.dev/_next/static/chunks/pages/_app-9f07e755d826634c.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/pages/_app-9f07e755d826634c.js	(from https://mohitkumar.dev/)
05:53:42	15720/15720	---M-Z	200	added ('OK')	application/javascript	etag:W/%223df97648a5aa46b937ad5d458e9e2959%22	https://mohitkumar.dev/_next/static/chunks/pages/index-a66431a9bdcc402f.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/chunks/pages/index-a66431a9bdcc402f.js	(from https://mohitkumar.dev/)
05:53:42	720/720	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f345c25ba259388a5f989436fc5d230f%22	https://mohitkumar.dev/_next/static/LdWwJZy0C5TFvLc_6y2QH/_buildManifest.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/LdWwJZy0C5TFvLc_6y2QH/_buildManifest.js	(from https://mohitkumar.dev/)
05:53:42	77/77	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b6652df95db52feb4daf4eca35380933%22	https://mohitkumar.dev/_next/static/LdWwJZy0C5TFvLc_6y2QH/_ssgManifest.js	C:/My%20Web%20Sites/harsh/mohitkumar.dev/_next/static/LdWwJZy0C5TFvLc_6y2QH/_ssgManifest.js	(from https://mohitkumar.dev/)
